r,t,f,y,UseByTechnologyAnnual
"Region1","BIODSL_PROD_001","LPG",2021,0
"Region1","BIODSL_PROD_001","LPG",2022,0
"Region1","BIODSL_PROD_001","LPG",2023,0
"Region1","BIODSL_PROD_001","LPG",2024,0
"Region1","BIODSL_PROD_001","LPG",2025,0
"Region1","BIODSL_PROD_001","LPG",2026,0
"Region1","BIODSL_PROD_001","LPG",2027,0
"Region1","BIODSL_PROD_001","LPG",2028,0
"Region1","BIODSL_PROD_001","LPG",2029,0
"Region1","BIODSL_PROD_001","LPG",2030,0
"Region1","BIODSL_PROD_001","LPG",2031,0
"Region1","BIODSL_PROD_001","LPG",2032,0
"Region1","BIODSL_PROD_001","LPG",2033,0
"Region1","BIODSL_PROD_001","LPG",2034,0
"Region1","BIODSL_PROD_001","LPG",2035,0
"Region1","BIODSL_PROD_001","NGS_001",2018,0
"Region1","BIODSL_PROD_001","NGS_001",2019,0
"Region1","BIODSL_PROD_001","NGS_001",2020,0
"Region1","BIODSL_PROD_001","NGS_001",2021,0
"Region1","BIODSL_PROD_001","NGS_001",2022,0
"Region1","BIODSL_PROD_001","NGS_001",2023,0
"Region1","BIODSL_PROD_001","NGS_001",2024,0
"Region1","BIODSL_PROD_001","NGS_001",2025,0
"Region1","BIODSL_PROD_001","NGS_001",2026,0
"Region1","BIODSL_PROD_001","NGS_001",2027,0
"Region1","BIODSL_PROD_001","NGS_001",2028,0
"Region1","BIODSL_PROD_001","NGS_001",2029,0
"Region1","BIODSL_PROD_001","NGS_001",2030,0
"Region1","BIODSL_PROD_001","NGS_001",2031,0
"Region1","BIODSL_PROD_001","NGS_001",2032,0
"Region1","BIODSL_PROD_001","NGS_001",2033,0
"Region1","BIODSL_PROD_001","NGS_001",2034,0
"Region1","BIODSL_PROD_001","NGS_001",2035,0
"Region1","BIODSL_PROD_001","NGS_002",2018,0
"Region1","BIODSL_PROD_001","NGS_002",2019,0
"Region1","BIODSL_PROD_001","NGS_002",2020,0
"Region1","BIODSL_PROD_001","NGS_002",2021,0
"Region1","BIODSL_PROD_001","NGS_002",2022,0
"Region1","BIODSL_PROD_001","NGS_002",2023,0
"Region1","BIODSL_PROD_001","NGS_002",2024,0
"Region1","BIODSL_PROD_001","NGS_002",2025,0
"Region1","BIODSL_PROD_001","NGS_002",2026,0
"Region1","BIODSL_PROD_001","NGS_002",2027,0
"Region1","BIODSL_PROD_001","NGS_002",2028,0
"Region1","BIODSL_PROD_001","NGS_002",2029,0
"Region1","BIODSL_PROD_001","NGS_002",2030,0
"Region1","BIODSL_PROD_001","NGS_002",2031,0
"Region1","BIODSL_PROD_001","NGS_002",2032,0
"Region1","BIODSL_PROD_001","NGS_002",2033,0
"Region1","BIODSL_PROD_001","NGS_002",2034,0
"Region1","BIODSL_PROD_001","NGS_002",2035,0
"Region1","BIODSL_PROD_001","OIL",2018,0
"Region1","BIODSL_PROD_001","OIL",2019,0
"Region1","BIODSL_PROD_001","OIL",2020,0
"Region1","BIODSL_PROD_001","OIL",2021,0
