r,t,y,CapitalInvestment
"Region1","COM_EE",2034,0
"Region1","COM_EE",2035,0
"Region1","COM_EL_APP_001",2018,0.0446954314720812
"Region1","COM_EL_APP_001",2019,0.00373640319071789
"Region1","COM_EL_APP_001",2020,0.0040500362581581
"Region1","COM_EL_APP_001",2021,0.00438905003625815
"Region1","COM_EL_APP_001",2022,0.00475525743292243
"Region1","COM_EL_APP_001",2023,0.00515409717186367
"Region1","COM_EL_APP_001",2024,0.00558375634517768
"Region1","COM_EL_APP_001",2025,0.00605329949238575
"Region1","COM_EL_APP_001",2026,0.0065572878897752
"Region1","COM_EL_APP_001",2027,0.0071047860768673
"Region1","COM_EL_APP_001",2028,0.0523966642494561
"Region1","COM_EL_APP_001",2029,0.0120794053662074
"Region1","COM_EL_APP_001",2030,0.0130928208846991
"Region1","COM_EL_APP_001",2031,0.014186004350979
"Region1","COM_EL_APP_001",2032,0.0153734590282814
"Region1","COM_EL_APP_001",2033,0.0166588107324148
"Region1","COM_EL_APP_001",2034,0.0180511240029007
"Region1","COM_EL_APP_001",2035,0.0195630891950689
"Region1","IMP_DSL",2018,0.166964824880156
"Region1","IMP_DSL",2019,0.162504198717644
"Region1","IMP_DSL",2020,0.156666611758788
"Region1","IMP_DSL",2021,0.155515028594171
"Region1","IMP_DSL",2022,0.158493845371902
"Region1","IMP_DSL",2023,0.161274160761002
"Region1","IMP_DSL",2024,0.188330176101852
"Region1","IMP_DSL",2025,0.220010860142285
"Region1","IMP_DSL",2026,0.240388249877759
"Region1","IMP_DSL",2027,0.262267489925173
"Region1","IMP_DSL",2028,0.285780056375109
"Region1","IMP_DSL",2029,0.311064286826026
"Region1","IMP_DSL",2030,0.338276243125444
"Region1","IMP_DSL",2031,0.363778779147604
"Region1","IMP_DSL",2032,0.391987128522989
"Region1","IMP_DSL",2033,0.480416334977923
"Region1","IMP_DSL",2034,0.578109826791445
"Region1","IMP_DSL",2035,0.684336076121483
"Region1","IMP_GSL",2018,0.0721556766080468
"Region1","IMP_GSL",2019,0.0752364533719749
"Region1","IMP_GSL",2020,0.0827014131280238
"Region1","IMP_GSL",2021,0.0717863078017185
"Region1","IMP_GSL",2022,0.070815214804358
"Region1","IMP_GSL",2023,0.0695958333289619
"Region1","IMP_GSL",2024,0.0693229408327663
"Region1","IMP_GSL",2025,0.0691387551904611
"Region1","IMP_GSL",2026,0.0705051781319492
"Region1","IMP_GSL",2027,0.0719794619587787
"Region1","IMP_GSL",2028,0.0735667571143971
"Region1","IMP_GSL",2029,0.0752724599596032
"Region1","IMP_GSL",2030,0.0817863021710277
"Region1","IMP_GSL",2031,0.0863097961817393
"Region1","IMP_GSL",2032,0.0909801631412716
"Region1","IMP_GSL",2033,0.101507752054085
"Region1","IMP_GSL",2034,0.106765578037834
"Region1","IMP_GSL",2035,0.117215101284329
"Region1","IMP_KER",2018,0.0157051398050805
"Region1","IMP_KER",2019,0.0164401689358436
"Region1","IMP_KER",2020,0.0172222640771577
"Region1","IMP_KER",2021,0.0180543311050705
"Region1","IMP_KER",2022,0.0189394595561556
"Region1","IMP_KER",2023,0.0198809323215322
"Region1","IMP_KER",2024,0.0208822423459546
"Region1","IMP_KER",2025,0.0219471032031943
"Region1","IMP_KER",2026,0.0230794646392419
"Region1","IMP_KER",2027,0.0242835249288749
"Region1","IMP_KER",2028,0.0255637511663886
"Region1","IMP_KER",2029,0.0269248935685329
"Region1","IMP_KER",2030,0.0241612946869723
"Region1","IMP_KER",2031,0.0271011156657913
"Region1","IMP_KER",2032,0.0284192520323729
"Region1","IMP_KER",2033,0.0297022649381957
"Region1","IMP_KER",2034,0.0310868413186289
"Region1","IMP_KER",2035,0.0325795767303223
"Region1","IMP_LPG",2018,0.0385776695765576
"Region1","IMP_LPG",2019,0.035362863769577
"Region1","IMP_LPG",2020,0.0321480579808981
"Region1","IMP_LPG",2021,0.0289332521733173
"Region1","IMP_LPG",2022,0.0257184463849385
"Region1","IMP_LPG",2023,0.0225036405773577
"Region1","IMP_LPG",2024,0.0192888347879788
"Region1","IMP_LPG",2025,0.0160740289904991
"Region1","IMP_LPG",2026,0.0128592231919192
"Region1","IMP_LPG",2027,0.00964441739443944
"Region1","IMP_LPG",2028,0.0064296115959596
"Region1","IMP_LPG",2029,0.00321480579807981
"Region1","IMP_LPG",2030,0
"Region1","IMP_LPG",2031,0
"Region1","IMP_LPG",2032,0
"Region1","IMP_LPG",2033,0
"Region1","IMP_LPG",2034,0
"Region1","IMP_LPG",2035,0
"Region1","IMP_OIL",2018,0
"Region1","IMP_OIL",2019,0
"Region1","IMP_OIL",2020,0
"Region1","IMP_OIL",2021,0
"Region1","IMP_OIL",2022,0
"Region1","IMP_OIL",2023,0
"Region1","IMP_OIL",2024,0
"Region1","IMP_OIL",2025,0
"Region1","IMP_OIL",2026,0
"Region1","IMP_OIL",2027,0
"Region1","IMP_OIL",2028,0
"Region1","IMP_OIL",2029,0
"Region1","IMP_OIL",2030,0
"Region1","IMP_OIL",2031,0
"Region1","IMP_OIL",2032,0
"Region1","IMP_OIL",2033,0
"Region1","IMP_OIL",2034,0
"Region1","IMP_OIL",2035,0
"Region1","IMP_OILPRD",2018,0
"Region1","IMP_OILPRD",2019,0
"Region1","IMP_OILPRD",2020,0
"Region1","IMP_OILPRD",2021,0
"Region1","IMP_OILPRD",2022,0
"Region1","IMP_OILPRD",2023,0
"Region1","IMP_OILPRD",2024,0
"Region1","IMP_OILPRD",2025,0
"Region1","IMP_OILPRD",2026,0
"Region1","IMP_OILPRD",2027,0
"Region1","IMP_OILPRD",2028,0
"Region1","IMP_OILPRD",2029,0
"Region1","IMP_OILPRD",2030,0
"Region1","IMP_OILPRD",2031,0
