r,t,y,TotalCapacityAnnual
"Region1","COM_EE",2023,22.837100030003
"Region1","COM_EE",2024,28.5463750375037
"Region1","COM_EE",2025,34.2556500450045
"Region1","COM_EE",2026,39.9649250525052
"Region1","COM_EE",2027,45.674200060006
"Region1","COM_EE",2028,51.3834750675067
"Region1","COM_EE",2029,57.0927500650065
"Region1","COM_EE",2030,68.511300080008
"Region1","COM_EE",2031,73.7015500850085
"Region1","COM_EE",2032,78.89180010001
"Region1","COM_EE",2033,84.0820501050105
"Region1","COM_EE",2034,89.272300110011
"Region1","COM_EE",2035,94.4625501150115
"Region1","COM_EL_APP_001",2018,446.954314720812
"Region1","COM_EL_APP_001",2019,484.318346627991
"Region1","COM_EL_APP_001",2020,519.109434203072
"Region1","COM_EL_APP_001",2021,557.290659557152
"Region1","COM_EL_APP_001",2022,599.133958878876
"Region1","COM_EL_APP_001",2023,644.965655590012
"Region1","COM_EL_APP_001",2024,695.093944034287
"Region1","COM_EL_APP_001",2025,749.917663950645
"Region1","COM_EL_APP_001",2026,809.781267840896
"Region1","COM_EL_APP_001",2027,875.119853602068
"Region1","COM_EL_APP_001",2028,946.422906368316
"Region1","COM_EL_APP_001",2029,1024.14365312571
"Region1","COM_EL_APP_001",2030,1103.15294937612
"Region1","COM_EL_APP_001",2031,1195.93224251833
"Region1","COM_EL_APP_001",2032,1296.92400845692
"Region1","COM_EL_APP_001",2033,1406.78089405743
"Region1","COM_EL_APP_001",2034,1526.26432062966
"Region1","COM_EL_APP_001",2035,1656.17196765149
"Region1","GASIFICATION",2018,0
"Region1","GASIFICATION",2019,0
"Region1","GASIFICATION",2020,0
"Region1","GASIFICATION",2021,0
"Region1","GASIFICATION",2022,0
"Region1","GASIFICATION",2023,0
"Region1","GASIFICATION",2024,0
"Region1","GASIFICATION",2025,0
"Region1","GASIFICATION",2026,0
"Region1","GASIFICATION",2027,0
"Region1","GASIFICATION",2028,0
"Region1","GASIFICATION",2029,0
"Region1","GASIFICATION",2030,0
"Region1","GASIFICATION",2031,0
"Region1","GASIFICATION",2032,0
"Region1","GASIFICATION",2033,0
"Region1","GASIFICATION",2034,0
"Region1","GASIFICATION",2035,0
"Region1","IMP_DSL",2018,1419.39990316699
"Region1","IMP_DSL",2019,1368.3004962111
"Region1","IMP_DSL",2020,1334.88662832034
"Region1","IMP_DSL",2021,1268.35500867077
